Date,Author,Percentage
"August 23, 2023",Debra Werner,25.0
"August 23, 2023",Andrew Jones,25.0
"August 22, 2023",Jeff Foust,42.857142857142854
"August 22, 2023",Sandra Erwin,42.857142857142854
"August 22, 2023",Debra Werner,14.285714285714285
"August 21, 2023",Jason Rainbow,25.0
"August 21, 2023",Sandra Erwin,25.0
"August 21, 2023",Jeff Foust,50.0
"August 20, 2023",Andrew Jones,100.0
"August 19, 2023",Jeff Foust,100.0
"August 18, 2023",Sandra Erwin,50.0
"August 18, 2023",Jeff Foust,50.0
"August 17, 2023",Jeff Foust,20.0
"August 17, 2023",Sandra Erwin,80.0
"August 16, 2023",Jason Rainbow,25.0
"August 16, 2023",Jeff Foust,25.0
"August 16, 2023",Sandra Erwin,50.0
"August 15, 2023",Jeff Foust,42.857142857142854
"August 15, 2023",Debra Werner,14.285714285714285
"August 15, 2023",Sandra Erwin,28.57142857142857
"August 15, 2023",SpaceNews Editor,14.285714285714285
"August 14, 2023",Jeff Foust,37.5
"August 14, 2023",Jason Rainbow,25.0
"August 14, 2023",Sandra Erwin,12.5
"August 14, 2023",Debra Werner,12.5
"August 14, 2023",Andrew Jones,12.5
"August 13, 2023",Sandra Erwin,100.0
"August 11, 2023",Jason Rainbow,50.0
"August 11, 2023",Sandra Erwin,50.0
"August 10, 2023",Jason Rainbow,20.0
"August 10, 2023",Jeff Foust,40.0
"August 10, 2023",Sandra Erwin,20.0
"August 10, 2023",Andrew Jones,20.0
"August 9, 2023",Jason Rainbow,33.33333333333333
"August 9, 2023",Debra Werner,25.0
"August 9, 2023",Sandra Erwin,8.333333333333332
"August 9, 2023",Jeff Foust,33.33333333333333
"August 8, 2023",Jason Rainbow,20.0
"August 8, 2023",Sandra Erwin,20.0
"August 8, 2023",Debra Werner,33.33333333333333
"August 8, 2023",Jeff Foust,13.333333333333334
"August 8, 2023",Andrew Jones,13.333333333333334
"August 7, 2023",Debra Werner,41.66666666666667
"August 7, 2023",Jeff Foust,25.0
"August 7, 2023",Jason Rainbow,25.0
"August 7, 2023",Sandra Erwin,8.333333333333332
"August 6, 2023",Sandra Erwin,33.33333333333333
"August 6, 2023",Jeff Foust,33.33333333333333
"August 6, 2023",Jason Rainbow,33.33333333333333
"August 5, 2023",Andrew Jones,50.0
"August 5, 2023",Jeff Foust,50.0
"August 4, 2023",Jason Rainbow,33.33333333333333
"August 4, 2023",Jeff Foust,66.66666666666666
"August 3, 2023",Jason Rainbow,50.0
"August 3, 2023",Sandra Erwin,25.0
"August 3, 2023",Jeff Foust,25.0
"August 2, 2023",Miriam Klaczynska,14.285714285714285
"August 2, 2023",Sandra Erwin,42.857142857142854
"August 2, 2023",Jeff Foust,42.857142857142854
"August 1, 2023",Jason Rainbow,50.0
"August 1, 2023",Jeff Foust,50.0
"July 31, 2023",Sandra Erwin,75.0
"July 31, 2023",Jeff Foust,25.0
"July 30, 2023",Jeff Foust,50.0
"July 30, 2023",Park Si-soo,50.0
"July 29, 2023",Jason Rainbow,100.0
"July 28, 2023",Jeff Foust,25.0
"July 28, 2023",Sandra Erwin,50.0
"July 28, 2023",Jason Rainbow,25.0
"July 27, 2023",Jeff Foust,75.0
"July 27, 2023",Andrew Jones,25.0
"July 26, 2023",Sandra Erwin,60.0
"July 26, 2023",Jeff Foust,40.0
"July 25, 2023",Jeff Foust,50.0
"July 25, 2023",Jason Rainbow,16.666666666666664
"July 25, 2023",Sandra Erwin,33.33333333333333
"July 24, 2023",Jeff Foust,20.0
"July 24, 2023",Sandra Erwin,40.0
"July 24, 2023",Andrew Jones,20.0
"July 24, 2023",Debra Werner,20.0
"July 22, 2023",Jeff Foust,50.0
"July 22, 2023",Andrew Jones,50.0
"July 21, 2023",Jason Rainbow,66.66666666666666
"July 21, 2023",Jeff Foust,33.33333333333333
"July 20, 2023",Jeff Foust,66.66666666666666
"July 20, 2023",Sandra Erwin,33.33333333333333
"July 19, 2023",Jeff Foust,40.0
"July 19, 2023",Sandra Erwin,20.0
"July 19, 2023",Debra Werner,40.0
"July 18, 2023",Jason Rainbow,33.33333333333333
"July 18, 2023",Andrew Jones,33.33333333333333
"July 18, 2023",Jeff Foust,33.33333333333333
"July 17, 2023",Jason Rainbow,25.0
"July 17, 2023",Sandra Erwin,25.0
"July 17, 2023",Andrew Jones,25.0
"July 17, 2023",Jeff Foust,25.0
"July 15, 2023",Jeff Foust,100.0
"July 14, 2023",Sandra Erwin,33.33333333333333
"July 14, 2023",Jeff Foust,33.33333333333333
"July 14, 2023",Park Si-soo,33.33333333333333
"July 13, 2023",Debra Werner,22.22222222222222
"July 13, 2023",Jeff Foust,33.33333333333333
"July 13, 2023",Sandra Erwin,22.22222222222222
"July 13, 2023",Jason Rainbow,11.11111111111111
"July 13, 2023",SpaceNews Staff,11.11111111111111
"July 12, 2023",Sandra Erwin,33.33333333333333
"July 12, 2023",Jeff Foust,33.33333333333333
"July 12, 2023",Andrew Jones,33.33333333333333
"July 11, 2023",Sandra Erwin,20.0
"July 11, 2023",Jason Rainbow,20.0
"July 11, 2023",Jeff Foust,20.0
"July 11, 2023",Debra Werner,40.0
"July 10, 2023",Jeff Foust,50.0
"July 10, 2023",Jason Rainbow,16.666666666666664
"July 10, 2023",Debra Werner,16.666666666666664
"July 10, 2023",Miriam Klaczynska,16.666666666666664
"July 7, 2023",Debra Werner,25.0
"July 7, 2023",Jason Rainbow,25.0
"July 7, 2023",Jeff Foust,25.0
"July 7, 2023",Andrew Jones,25.0
"July 6, 2023",Jeff Foust,20.0
"July 6, 2023",Jason Rainbow,20.0
"July 6, 2023",Andrew Jones,20.0
"July 6, 2023",Sandra Erwin,40.0
"July 5, 2023",Jeff Foust,75.0
"July 5, 2023",Jason Rainbow,25.0
"July 1, 2023",Jeff Foust,100.0
"June 30, 2023",Jeff Foust,25.0
"June 30, 2023",Andrew Jones,25.0
"June 30, 2023",Jason Rainbow,25.0
"June 30, 2023",Sandra Erwin,25.0
"June 29, 2023",Jeff Foust,42.857142857142854
"June 29, 2023",Sandra Erwin,42.857142857142854
"June 29, 2023",Andrew Jones,14.285714285714285
"June 28, 2023",Jeff Foust,25.0
"June 28, 2023",Jason Rainbow,12.5
"June 28, 2023",Sandra Erwin,37.5
"June 28, 2023",Debra Werner,12.5
"June 28, 2023",Miriam Klaczynska,12.5
"June 27, 2023",Jason Rainbow,16.666666666666664
"June 27, 2023",Andrew Jones,16.666666666666664
"June 27, 2023",Jeff Foust,16.666666666666664
"June 27, 2023",Sandra Erwin,16.666666666666664
"June 27, 2023",Debra Werner,16.666666666666664
"June 27, 2023",SpaceNews Staff,16.666666666666664
"June 26, 2023",Debra Werner,25.0
"June 26, 2023",Jeff Foust,37.5
"June 26, 2023",Jason Rainbow,12.5
"June 26, 2023",Sandra Erwin,12.5
"June 26, 2023",Andrew Jones,12.5
"June 25, 2023",Sandra Erwin,100.0
"June 24, 2023",Jeff Foust,100.0
"June 23, 2023",Jeff Foust,42.857142857142854
"June 23, 2023",Jason Rainbow,28.57142857142857
"June 23, 2023",Debra Werner,14.285714285714285
"June 23, 2023",Sandra Erwin,14.285714285714285
"June 22, 2023",Debra Werner,16.666666666666664
"June 22, 2023",Sandra Erwin,50.0
"June 22, 2023",Jeff Foust,16.666666666666664
"June 22, 2023",Jason Rainbow,16.666666666666664
"June 21, 2023",Jeff Foust,16.666666666666664
"June 21, 2023",Sandra Erwin,50.0
"June 21, 2023",Jason Rainbow,16.666666666666664
"June 21, 2023",Debra Werner,16.666666666666664
"June 20, 2023",Jeff Foust,37.5
"June 20, 2023",Jason Rainbow,12.5
"June 20, 2023",Sandra Erwin,25.0
"June 20, 2023",Debra Werner,25.0
"June 19, 2023",Jason Rainbow,25.0
"June 19, 2023",Andrew Jones,25.0
"June 19, 2023",Sandra Erwin,25.0
"June 19, 2023",Debra Werner,25.0
"June 18, 2023",Jeff Foust,100.0
"June 17, 2023",Sandra Erwin,100.0
"June 16, 2023",Miriam Klaczynska,20.0
"June 16, 2023",Sandra Erwin,40.0
"June 16, 2023",Jeff Foust,40.0
"June 15, 2023",Jeff Foust,57.14285714285714
"June 15, 2023",Jason Rainbow,42.857142857142854
"June 14, 2023",Sandra Erwin,14.285714285714285
"June 14, 2023",Debra Werner,28.57142857142857
"June 14, 2023",Andrew Jones,14.285714285714285
"June 14, 2023",Miriam Klaczynska,14.285714285714285
"June 14, 2023",Jeff Foust,28.57142857142857
"June 13, 2023",Jason Rainbow,20.0
"June 13, 2023",Sandra Erwin,80.0
"June 12, 2023",Jeff Foust,25.0
"June 12, 2023",Debra Werner,25.0
"June 12, 2023",Sandra Erwin,37.5
"June 12, 2023",Jason Rainbow,12.5
"June 11, 2023",Jeff Foust,100.0
"June 10, 2023",Debra Werner,100.0
"June 9, 2023",Sandra Erwin,22.22222222222222
"June 9, 2023",Jeff Foust,22.22222222222222
"June 9, 2023",Jason Rainbow,22.22222222222222
"June 9, 2023",Debra Werner,22.22222222222222
"June 9, 2023",Andrew Jones,11.11111111111111
"June 8, 2023",Sandra Erwin,33.33333333333333
"June 8, 2023",Jason Rainbow,11.11111111111111
"June 8, 2023",Jeff Foust,33.33333333333333
"June 8, 2023",Debra Werner,22.22222222222222
"June 7, 2023",Jeff Foust,28.57142857142857
"June 7, 2023",Debra Werner,14.285714285714285
"June 7, 2023",Sandra Erwin,28.57142857142857
"June 7, 2023",Jason Rainbow,14.285714285714285
"June 7, 2023",Andrew Jones,14.285714285714285
"June 6, 2023",Jason Rainbow,33.33333333333333
"June 6, 2023",Sandra Erwin,16.666666666666664
"June 6, 2023",Jeff Foust,50.0
"June 5, 2023",Debra Werner,16.666666666666664
"June 5, 2023",Sandra Erwin,33.33333333333333
"June 5, 2023",Jeff Foust,33.33333333333333
"June 5, 2023",Jason Rainbow,16.666666666666664
"June 3, 2023",Jeff Foust,100.0
"June 2, 2023",Sandra Erwin,66.66666666666666
"June 2, 2023",Jeff Foust,33.33333333333333
"June 1, 2023",Jeff Foust,33.33333333333333
"June 1, 2023",Sandra Erwin,50.0
"June 1, 2023",Debra Werner,16.666666666666664
"May 31, 2023",Sandra Erwin,33.33333333333333
"May 31, 2023",Park Si-soo,16.666666666666664
"May 31, 2023",Jason Rainbow,16.666666666666664
"May 31, 2023",Jeff Foust,16.666666666666664
"May 31, 2023",Andrew Jones,16.666666666666664
"May 30, 2023",Jeff Foust,33.33333333333333
"May 30, 2023",Jason Rainbow,16.666666666666664
"May 30, 2023",Sandra Erwin,33.33333333333333
"May 30, 2023",Andrew Jones,16.666666666666664
"May 29, 2023",Andrew Jones,100.0
"May 27, 2023",Jeff Foust,50.0
"May 27, 2023",Jason Rainbow,50.0
"May 26, 2023",Sandra Erwin,50.0
"May 26, 2023",Jeff Foust,50.0
"May 25, 2023",Jeff Foust,37.5
"May 25, 2023",Sandra Erwin,25.0
"May 25, 2023",Debra Werner,12.5
"May 25, 2023",Jason Rainbow,12.5
"May 25, 2023",Park Si-soo,12.5
"May 24, 2023",Debra Werner,33.33333333333333
"May 24, 2023",Jeff Foust,11.11111111111111
"May 24, 2023",Jason Rainbow,33.33333333333333
"May 24, 2023",Sandra Erwin,22.22222222222222
"May 23, 2023",Sandra Erwin,40.0
"May 23, 2023",Jeff Foust,40.0
"May 23, 2023",Debra Werner,20.0
"May 22, 2023",Debra Werner,50.0
"May 22, 2023",Sandra Erwin,40.0
"May 22, 2023",Andrew Jones,10.0
"May 21, 2023",Jeff Foust,33.33333333333333
"May 21, 2023",Debra Werner,33.33333333333333
"May 21, 2023",Sandra Erwin,33.33333333333333
"May 20, 2023",Jeff Foust,50.0
"May 20, 2023",Jason Rainbow,50.0
"May 19, 2023",Jeff Foust,50.0
"May 19, 2023",Sandra Erwin,16.666666666666664
"May 19, 2023",Jason Rainbow,33.33333333333333
"May 18, 2023",Jeff Foust,33.33333333333333
"May 18, 2023",Sandra Erwin,50.0
"May 18, 2023",Jason Rainbow,16.666666666666664
"May 17, 2023",Sandra Erwin,50.0
"May 17, 2023",Jeff Foust,50.0
"May 16, 2023",Sandra Erwin,20.0
"May 16, 2023",Jason Rainbow,20.0
"May 16, 2023",Andrew Jones,20.0
"May 16, 2023",Jeff Foust,40.0
"May 15, 2023",Sandra Erwin,25.0
"May 15, 2023",Jason Rainbow,25.0
"May 15, 2023",Jeff Foust,50.0
"May 14, 2023",Jeff Foust,100.0
"May 13, 2023",Jeff Foust,100.0
"May 12, 2023",Sandra Erwin,33.33333333333333
"May 12, 2023",Jason Rainbow,33.33333333333333
"May 12, 2023",Jeff Foust,33.33333333333333
"May 11, 2023",Sandra Erwin,28.57142857142857
"May 11, 2023",Jason Rainbow,28.57142857142857
"May 11, 2023",Debra Werner,14.285714285714285
"May 11, 2023",Jeff Foust,14.285714285714285
"May 11, 2023",Andrew Jones,14.285714285714285
"May 10, 2023",Jason Rainbow,16.666666666666664
"May 10, 2023",Jeff Foust,33.33333333333333
"May 10, 2023",Andrew Jones,16.666666666666664
"May 10, 2023",Sandra Erwin,16.666666666666664
"May 10, 2023",Debra Werner,16.666666666666664
"May 9, 2023",Jeff Foust,40.0
"May 9, 2023",Jason Rainbow,30.0
"May 9, 2023",Sandra Erwin,10.0
"May 9, 2023",Debra Werner,20.0
"May 8, 2023",Sandra Erwin,25.0
"May 8, 2023",Debra Werner,25.0
"May 8, 2023",Jason Rainbow,12.5
"May 8, 2023",Jeff Foust,12.5
"May 8, 2023",Park Si-soo,12.5
"May 8, 2023",Andrew Jones,12.5
"May 7, 2023",Jeff Foust,100.0
"May 6, 2023",Jeff Foust,100.0
"May 5, 2023",Sandra Erwin,66.66666666666666
"May 5, 2023",Jeff Foust,33.33333333333333
"May 4, 2023",Jason Rainbow,40.0
"May 4, 2023",Jeff Foust,20.0
"May 4, 2023",Sandra Erwin,40.0
"May 3, 2023",Jeff Foust,40.0
"May 3, 2023",Sandra Erwin,40.0
"May 3, 2023",Debra Werner,20.0
"May 2, 2023",Jeff Foust,57.14285714285714
"May 2, 2023",Sandra Erwin,28.57142857142857
"May 2, 2023",Jason Rainbow,14.285714285714285
"May 1, 2023",Jeff Foust,50.0
"May 1, 2023",Sandra Erwin,25.0
"May 1, 2023",Jason Rainbow,25.0
"April 29, 2023",Jeff Foust,100.0
"April 28, 2023",Jason Rainbow,28.57142857142857
"April 28, 2023",Andrew Jones,28.57142857142857
"April 28, 2023",Sandra Erwin,14.285714285714285
"April 28, 2023",Jeff Foust,14.285714285714285
"April 28, 2023",SpaceNews Editor,14.285714285714285
"April 27, 2023",Jeff Foust,22.22222222222222
"April 27, 2023",Andrew Jones,22.22222222222222
"April 27, 2023",Jason Rainbow,22.22222222222222
"April 27, 2023",Debra Werner,22.22222222222222
"April 27, 2023",Sandra Erwin,11.11111111111111
"April 26, 2023",Jeff Foust,50.0
"April 26, 2023",Sandra Erwin,16.666666666666664
"April 26, 2023",Andrew Jones,16.666666666666664
"April 26, 2023",Debra Werner,16.666666666666664
"April 25, 2023",Jeff Foust,50.0
"April 25, 2023",Jason Rainbow,16.666666666666664
"April 25, 2023",Sandra Erwin,16.666666666666664
"April 25, 2023",Debra Werner,16.666666666666664
"April 24, 2023",Jeff Foust,16.666666666666664
"April 24, 2023",Sandra Erwin,50.0
"April 24, 2023",Debra Werner,16.666666666666664
"April 24, 2023",Jason Rainbow,16.666666666666664
"April 23, 2023",Jeff Foust,50.0
"April 23, 2023",Andrew Jones,50.0
"April 22, 2023",Sandra Erwin,100.0
"April 21, 2023",Jeff Foust,60.0
"April 21, 2023",Jason Rainbow,20.0
"April 21, 2023",Debra Werner,20.0
"April 20, 2023",Jason Rainbow,16.666666666666664
"April 20, 2023",Sandra Erwin,33.33333333333333
"April 20, 2023",Jeff Foust,50.0
"April 19, 2023",Sandra Erwin,40.0
"April 19, 2023",Jason Rainbow,10.0
"April 19, 2023",Jeff Foust,30.0
"April 19, 2023",Debra Werner,20.0
"April 18, 2023",Sandra Erwin,15.384615384615385
"April 18, 2023",Debra Werner,23.076923076923077
"April 18, 2023",Jason Rainbow,30.76923076923077
"April 18, 2023",Jeff Foust,30.76923076923077
"April 17, 2023",Jason Rainbow,12.5
"April 17, 2023",Sandra Erwin,37.5
"April 17, 2023",Debra Werner,25.0
"April 17, 2023",Jeff Foust,25.0
"April 15, 2023",Debra Werner,50.0
"April 15, 2023",Jeff Foust,50.0
"April 14, 2023",Jeff Foust,44.44444444444444
"April 14, 2023",Sandra Erwin,44.44444444444444
"April 14, 2023",Jason Rainbow,11.11111111111111
"April 13, 2023",Sandra Erwin,33.33333333333333
"April 13, 2023",Park Si-soo,11.11111111111111
"April 13, 2023",Debra Werner,22.22222222222222
"April 13, 2023",Jeff Foust,22.22222222222222
"April 13, 2023",Jason Rainbow,11.11111111111111
"April 12, 2023",Jeff Foust,33.33333333333333
"April 12, 2023",Sandra Erwin,33.33333333333333
"April 12, 2023",Jason Rainbow,33.33333333333333
"April 11, 2023",Sandra Erwin,14.285714285714285
"April 11, 2023",Jason Rainbow,42.857142857142854
"April 11, 2023",Jeff Foust,28.57142857142857
"April 11, 2023",Andrew Jones,14.285714285714285
"April 10, 2023",Sandra Erwin,33.33333333333333
"April 10, 2023",Jeff Foust,66.66666666666666
"April 9, 2023",Sandra Erwin,100.0
"April 8, 2023",Jeff Foust,100.0
"April 7, 2023",Jason Rainbow,33.33333333333333
"April 7, 2023",Jeff Foust,66.66666666666666
"April 6, 2023",Jeff Foust,33.33333333333333
"April 6, 2023",Jason Rainbow,16.666666666666664
"April 6, 2023",Sandra Erwin,33.33333333333333
"April 6, 2023",Andrew Jones,16.666666666666664
"April 5, 2023",Jeff Foust,40.0
"April 5, 2023",Sandra Erwin,40.0
"April 5, 2023",Debra Werner,20.0
"April 4, 2023",Sandra Erwin,25.0
"April 4, 2023",Jeff Foust,50.0
"April 4, 2023",Jason Rainbow,25.0
"April 3, 2023",Jason Rainbow,12.5
"April 3, 2023",Sandra Erwin,37.5
"April 3, 2023",Jeff Foust,25.0
"April 3, 2023",Park Si-soo,12.5
"April 3, 2023",Andrew Jones,12.5
"April 2, 2023",Sandra Erwin,100.0
"March 31, 2023",Jason Rainbow,14.285714285714285
"March 31, 2023",Jeff Foust,42.857142857142854
"March 31, 2023",Park Si-soo,14.285714285714285
"March 31, 2023",Andrew Jones,28.57142857142857
"March 30, 2023",Jeff Foust,40.0
"March 30, 2023",Sandra Erwin,20.0
"March 30, 2023",Jason Rainbow,20.0
"March 30, 2023",Andrew Jones,20.0
"March 29, 2023",Jeff Foust,33.33333333333333
"March 29, 2023",Debra Werner,33.33333333333333
"March 29, 2023",Sandra Erwin,11.11111111111111
"March 29, 2023",Jason Rainbow,11.11111111111111
"March 29, 2023",Park Si-soo,11.11111111111111
"March 28, 2023",Jason Rainbow,20.0
"March 28, 2023",Sandra Erwin,40.0
"March 28, 2023",Andrew Jones,20.0
"March 28, 2023",Jeff Foust,20.0
"March 27, 2023",Sandra Erwin,33.33333333333333
"March 27, 2023",Jeff Foust,33.33333333333333
"March 27, 2023",Jason Rainbow,33.33333333333333
"March 26, 2023",Jeff Foust,50.0
"March 26, 2023",Sandra Erwin,50.0
"March 25, 2023",Sandra Erwin,50.0
"March 25, 2023",Jeff Foust,50.0
"March 24, 2023",Jeff Foust,71.42857142857143
"March 24, 2023",Sandra Erwin,14.285714285714285
"March 24, 2023",Andrew Jones,14.285714285714285
"March 23, 2023",Jeff Foust,100.0
"March 22, 2023",Jeff Foust,75.0
"March 22, 2023",Sandra Erwin,25.0
"March 21, 2023",Jeff Foust,66.66666666666666
"March 21, 2023",Sandra Erwin,33.33333333333333
"March 20, 2023",Jeff Foust,25.0
"March 20, 2023",Sandra Erwin,50.0
"March 20, 2023",Debra Werner,25.0
"March 19, 2023",Jeff Foust,100.0
"March 18, 2023",Jeff Foust,50.0
"March 18, 2023",Debra Werner,50.0
"March 17, 2023",Jason Rainbow,50.0
"March 17, 2023",Jeff Foust,33.33333333333333
"March 17, 2023",Andrew Jones,16.666666666666664
"March 16, 2023",Jeff Foust,42.857142857142854
"March 16, 2023",Sandra Erwin,14.285714285714285
"March 16, 2023",Debra Werner,14.285714285714285
"March 16, 2023",Jason Rainbow,14.285714285714285
"March 16, 2023",Park Si-soo,14.285714285714285
"March 15, 2023",Debra Werner,11.11111111111111
"March 15, 2023",Jeff Foust,44.44444444444444
"March 15, 2023",Brian Berger,11.11111111111111
"March 15, 2023",Jason Rainbow,11.11111111111111
"March 15, 2023",Andrew Jones,11.11111111111111
"March 15, 2023",Sandra Erwin,11.11111111111111
"March 14, 2023",Debra Werner,28.57142857142857
"March 14, 2023",Jason Rainbow,28.57142857142857
"March 14, 2023",Sandra Erwin,28.57142857142857
"March 14, 2023",Jeff Foust,14.285714285714285
"March 13, 2023",Jason Rainbow,20.0
"March 13, 2023",Jeff Foust,20.0
"March 13, 2023",Debra Werner,40.0
"March 13, 2023",Sandra Erwin,20.0
"March 11, 2023",Jeff Foust,100.0
"March 10, 2023",David Pugliese,16.666666666666664
"March 10, 2023",Jason Rainbow,16.666666666666664
"March 10, 2023",Debra Werner,16.666666666666664
"March 10, 2023",Jeff Foust,33.33333333333333
"March 10, 2023",Andrew Jones,16.666666666666664
"March 9, 2023",Jason Rainbow,28.57142857142857
"March 9, 2023",Sandra Erwin,42.857142857142854
"March 9, 2023",Jeff Foust,28.57142857142857
"March 8, 2023",Jeff Foust,33.33333333333333
"March 8, 2023",Sandra Erwin,50.0
"March 8, 2023",Jason Rainbow,16.666666666666664
"March 7, 2023",Jeff Foust,33.33333333333333
"March 7, 2023",Sandra Erwin,33.33333333333333
"March 7, 2023",Jason Rainbow,16.666666666666664
"March 7, 2023",Park Si-soo,16.666666666666664
"March 6, 2023",Jeff Foust,50.0
"March 6, 2023",Sandra Erwin,25.0
"March 6, 2023",Debra Werner,25.0
"March 5, 2023",Jeff Foust,100.0
"March 4, 2023",Jeff Foust,100.0
"March 3, 2023",Sandra Erwin,25.0
"March 3, 2023",Jason Rainbow,25.0
"March 3, 2023",Jeff Foust,50.0
"March 2, 2023",Sandra Erwin,40.0
"March 2, 2023",Andrew Jones,20.0
"March 2, 2023",Debra Werner,20.0
"March 2, 2023",Jeff Foust,20.0
"March 1, 2023",Sandra Erwin,25.0
"March 1, 2023",Jeff Foust,50.0
"March 1, 2023",Jason Rainbow,25.0
"February 28, 2023",Jason Rainbow,12.5
"February 28, 2023",Sandra Erwin,12.5
"February 28, 2023",Jeff Foust,37.5
"February 28, 2023",Debra Werner,12.5
"February 28, 2023",Andrew Jones,12.5
"February 28, 2023",Park Si-soo,12.5
"February 27, 2023",Sandra Erwin,33.33333333333333
"February 27, 2023",Jeff Foust,33.33333333333333
"February 27, 2023",Jason Rainbow,16.666666666666664
"February 27, 2023",Andrew Jones,16.666666666666664
"February 26, 2023",Jeff Foust,100.0
"February 25, 2023",Sandra Erwin,50.0
"February 25, 2023",Jeff Foust,50.0
"February 24, 2023",Jason Rainbow,25.0
"February 24, 2023",Andrew Jones,25.0
"February 24, 2023",Park Si-soo,25.0
"February 24, 2023",Jeff Foust,25.0
"February 23, 2023",Jeff Foust,33.33333333333333
"February 23, 2023",Jason Rainbow,33.33333333333333
"February 23, 2023",Andrew Jones,33.33333333333333
"February 22, 2023",Jeff Foust,40.0
"February 22, 2023",Jason Rainbow,20.0
"February 22, 2023",Sandra Erwin,30.0
"February 22, 2023",Debra Werner,10.0
"February 21, 2023",Sandra Erwin,16.666666666666664
"February 21, 2023",Jason Rainbow,16.666666666666664
"February 21, 2023",Jeff Foust,50.0
"February 21, 2023",Andrew Jones,16.666666666666664
"February 20, 2023",Sandra Erwin,50.0
"February 20, 2023",Andrew Jones,25.0
"February 20, 2023",Debra Werner,25.0
"February 18, 2023",Jeff Foust,66.66666666666666
"February 18, 2023",Jason Rainbow,33.33333333333333
"February 17, 2023",Jason Rainbow,11.11111111111111
"February 17, 2023",Debra Werner,11.11111111111111
"February 17, 2023",Jeff Foust,55.55555555555556
"February 17, 2023",Sandra Erwin,11.11111111111111
"February 17, 2023",Park Si-soo,11.11111111111111
"February 16, 2023",Sandra Erwin,50.0
"February 16, 2023",Jeff Foust,33.33333333333333
"February 16, 2023",Andrew Jones,16.666666666666664
"February 15, 2023",Jeff Foust,40.0
"February 15, 2023",Jason Rainbow,20.0
"February 15, 2023",Sandra Erwin,40.0
"February 14, 2023",Jeff Foust,37.5
"February 14, 2023",Sandra Erwin,50.0
"February 14, 2023",Jason Rainbow,12.5
"February 13, 2023",Jeff Foust,40.0
"February 13, 2023",Jason Rainbow,20.0
"February 13, 2023",Sandra Erwin,20.0
"February 13, 2023",Andrew Jones,20.0
"February 12, 2023",Jeff Foust,100.0
"February 11, 2023",Debra Werner,33.33333333333333
"February 11, 2023",Jeff Foust,66.66666666666666
"February 10, 2023",Jeff Foust,60.0
"February 10, 2023",Jason Rainbow,20.0
